,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag,Gender_F,Gender_M,Education_Level_College,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_missing,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_missing,Income_Category_$120K +,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_missing,Card_Category_Blue,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver
0,54,1,36,1,3,3,3723.0,1728,1995.0,0.595,8554,99,0.678,0.464,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1,58,4,48,1,4,3,5396.0,1803,3593.0,0.493,2107,39,0.393,0.334,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
2,45,4,36,6,1,3,15987.0,1648,14339.0,0.732,1436,36,1.25,0.103,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
3,34,2,36,4,3,4,3625.0,2517,1108.0,1.158,2616,46,1.3,0.694,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
4,49,2,39,5,3,4,2720.0,1926,794.0,0.602,3806,61,0.794,0.708,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
5,60,0,45,5,2,4,1438.3,648,790.3,0.477,1267,27,1.077,0.451,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
6,43,4,28,2,2,1,2838.0,1934,904.0,0.873,8644,87,0.554,0.681,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
7,52,2,45,3,1,3,3476.0,1560,1916.0,0.894,3496,58,0.871,0.449,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
8,30,0,36,3,3,2,2550.0,1623,927.0,0.65,1870,51,0.275,0.636,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
9,33,3,36,5,2,3,1457.0,0,1457.0,0.677,2200,45,0.364,0.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
10,29,0,15,2,1,3,8022.0,0,8022.0,0.381,5660,59,0.735,0.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
11,57,2,36,5,3,3,4316.0,0,4316.0,0.363,1920,53,0.472,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
12,28,0,15,2,2,2,23103.0,897,22206.0,0.913,14049,120,0.714,0.039,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
13,38,2,36,3,3,3,6692.0,2037,4655.0,0.401,1468,36,0.241,0.304,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
14,49,5,36,6,2,2,34516.0,2019,32497.0,0.614,3820,72,0.532,0.058,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
15,44,3,40,6,2,2,2232.0,2002,230.0,1.107,3803,68,0.511,0.897,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
16,38,2,36,6,2,3,3782.0,0,3782.0,0.717,14977,117,0.721,0.0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
17,32,3,20,6,2,2,14244.0,1673,12571.0,0.699,2729,66,0.535,0.117,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
18,44,4,32,2,4,2,23957.0,2102,21855.0,0.997,1276,26,0.733,0.088,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
19,46,1,35,5,3,3,2197.0,461,1736.0,0.636,1955,42,0.448,0.21,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
20,46,3,39,4,1,2,6644.0,2082,4562.0,0.915,4659,76,0.854,0.313,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
21,47,5,42,2,1,2,2519.0,1584,935.0,0.76,8852,95,0.759,0.629,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
22,44,1,36,6,3,3,3052.0,0,3052.0,0.868,2598,47,0.469,0.0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
23,43,0,37,3,1,4,6380.0,1160,5220.0,0.753,17119,124,0.797,0.182,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
24,49,0,37,5,2,3,1749.0,0,1749.0,1.006,2510,38,0.407,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
25,54,2,46,3,2,3,4170.0,641,3529.0,0.815,3669,67,0.595,0.154,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
26,47,2,40,2,1,3,4074.0,1868,2206.0,0.688,15005,118,0.761,0.459,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
27,45,4,36,2,5,2,14416.0,0,14416.0,0.788,13820,99,0.65,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
28,44,3,36,2,3,3,15422.0,864,14558.0,0.578,2136,54,0.8,0.056,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
29,60,1,46,6,3,1,5130.0,2048,3082.0,0.776,4601,88,0.76,0.399,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
30,35,3,30,3,3,2,9293.0,0,9293.0,0.897,2314,59,1.034,0.0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
31,43,3,33,5,2,3,3040.0,2517,523.0,0.493,1598,31,0.476,0.828,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
32,55,3,36,3,3,3,2679.0,2277,402.0,0.736,4943,85,0.735,0.85,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
33,52,0,47,2,1,1,34516.0,1464,33052.0,0.689,7690,87,0.673,0.042,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
34,49,2,42,6,3,2,1991.0,0,1991.0,0.954,4527,66,0.61,0.0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
35,38,2,33,6,3,4,5940.0,1101,4839.0,0.942,1872,34,1.125,0.185,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
36,47,0,27,3,1,3,1776.0,691,1085.0,0.878,4878,84,0.826,0.389,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
37,52,2,45,1,1,1,4209.0,0,4209.0,0.856,5938,83,0.694,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
38,46,3,36,5,2,2,4668.0,0,4668.0,0.89,1612,47,1.474,0.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
